Section,Subsection,Topic (Bangla),Topic (English),Path,Content type,Priority,Notes
Phase 1: Starting,Banking & Payments Setup,"আন্তর্জাতিক পেমেন্ট, কার্ড ও পেমেন্ট লিংকের সীমাবদ্ধতা","International payment, card and payment-link constraints",/payments/international-payments,Guide,Medium,Source lead: Bangladesh Bank / gateways.
Phase 1: Starting,Banking & Payments Setup,COD নগদ টাকা মিলানোর টেমপ্লেট,COD cash reconciliation template,/payments/cod-reconciliation,Template,High,For commerce operators.
Phase 1: Starting,Banking & Payments Setup,পেমেন্ট জালিয়াতির ঝুঁকি চেকলিস্ট,Payment fraud risk checklist,/payments/fraud-risk-checklist,Checklist,Medium,For online sellers.
Phase 1: Starting,Import / Export / IP,HS code কীভাবে খুঁজবেন,How to find the right HS code,/trade/hs-codes,Guide,High,Source lead: Bangladesh Customs / Trade Portal.
Phase 1: Starting,Import / Export / IP,IRC/ERC করার ধাপে ধাপে গাইড,Step-by-step guide to IRC/ERC,/trade/irc-erc-steps,Guide,High,Source lead: CCIE.
Phase 1: Starting,Import / Export / IP,"LC, LCAF ও ব্যাংক ডকুমেন্টেশন বেসিক","LC, LCAF and bank documentation basics",/trade/lc-basics,Guide,High,For importers.
Phase 1: Starting,Import / Export / IP,"ল্যান্ডেড কস্ট ক্যালকুলেটর: শুল্ক, VAT, পরিবহন ও ক্লিয়ারিং","Landed cost calculator: duty, VAT, freight and clearing",/tools/landed-cost-calculator,Calculator,High,For import product decisions.
Phase 1: Starting,Import / Export / IP,C&F এজেন্ট বাছাইয়ের চেকলিস্ট,C&F agent selection checklist,/trade/cnf-agents,Checklist,High,Practical import/export ops.
Phase 1: Starting,Import / Export / IP,"ফ্রেইট ফরওয়ার্ডার বাছাই: আকাশপথ, সমুদ্রপথ, কুরিয়ার","Choosing a freight forwarder: air, sea and courier",/trade/freight-forwarders,Guide,Medium,Physical goods path.
Phase 1: Starting,Import / Export / IP,Incoterms সহজ বাংলায়,Incoterms in plain Bangla,/trade/incoterms,Guide,Medium,Import/export education.
Phase 1: Starting,Import / Export / IP,"প্রোফর্মা ইনভয়েস, কমার্শিয়াল ইনভয়েস ও প্যাকিং লিস্ট","Proforma invoice, commercial invoice and packing list",/trade/trade-documents,Guide / Template,High,Document templates.
Phase 1: Starting,Import / Export / IP,উৎপত্তি সনদ কখন দরকার,When a certificate of origin is needed,/trade/certificate-of-origin,Guide,Medium,Export/trade process.
Phase 1: Starting,Import / Export / IP,রপ্তানি আয় দেশে আনার বেসিক,Export proceeds repatriation basics,/trade/export-proceeds,Guide,High,Source lead: Bangladesh Bank foreign exchange rules.
Phase 1: Starting,Import / Export / IP,EPB নিবন্ধন ও রপ্তানি প্রণোদনার পথ,EPB registration and export incentive path,/trade/epb-registration,Guide,Medium,Source lead: EPB.
Phase 1: Starting,Import / Export / IP,বন্ডেড ওয়্যারহাউস কী এবং কাদের জন্য,What bonded warehouses are and who should use them,/trade/bonded-warehouses,Guide,Medium,For export manufacturing.
Phase 1: Starting,Import / Export / IP,BEPZA ও ইনভেস্ট বাংলাদেশের ইকোনমিক জোন: রপ্তানিমুখী উৎপাদনের জন্য কখন ভাববেন,When to consider BEPZA and Invest Bangladesh economic zones for export manufacturing,/trade/bepza-beza,Guide,Medium,Source lead: BEPZA / Invest Bangladesh.
Phase 1: Starting,Import / Export / IP,পণ্যের লেবেলিং ও প্যাকেজিং কমপ্লায়েন্স,Product labeling and packaging compliance,/licenses/product-labeling,Checklist,High,For consumer goods.
Phase 1: Starting,Import / Export / IP,স্যাম্পল আমদানি ও প্রোটোটাইপ শিপমেন্ট,Sample imports and prototype shipments,/trade/sample-imports,Guide,Medium,Early physical product testing.
Phase 1: Starting,Import / Export / IP,বিদেশি সাপ্লায়ার যাচাইয়ের চেকলিস্ট,Foreign supplier verification checklist,/trade/supplier-verification,Checklist,High,Alibaba and sourcing risk.
Phase 1: Starting,Import / Export / IP,Alibaba থেকে আমদানি করলে ঝুঁকি কমানোর উপায়,Reducing risk when importing from Alibaba,/trade/alibaba-imports,Guide,Medium,Practical sourcing content.
Phase 1: Starting,Import / Export / IP,শিপমেন্টের আগে গুণমান পরীক্ষা চেকলিস্ট,Pre-shipment quality inspection checklist,/trade/pre-shipment-inspection,Checklist,High,For product quality.
Phase 1: Starting,Import / Export / IP,কাস্টমস ক্লিয়ারেন্স দেরি হলে কী করবেন,What to do when customs clearance is delayed,/trade/customs-delays,Guide,Medium,Import ops troubleshooting.
Phase 1: Starting,Import / Export / IP,ট্রেডমার্ক খোঁজা ও ফাইলিং গাইড,Trademark search and filing guide,/ip/trademark-filing,Guide,High,Source lead: DPDT.
Phase 1: Starting,Import / Export / IP,ব্র্যান্ড নাম নেওয়ার আগে ট্রেডমার্ক সংঘাত পরীক্ষা,Trademark conflict check before choosing a brand name,/ip/trademark-conflict-check,Checklist,High,Avoid future rebrand.
Phase 1: Starting,Import / Export / IP,"সফটওয়্যার, কোর্স ও কনটেন্টের কপিরাইট বেসিক","Copyright basics for software, courses and content",/ip/copyright,Guide,Medium,Source lead: Copyright Office.
Phase 1: Starting,Import / Export / IP,ফ্রিল্যান্সার দিয়ে বানালে মেধাস্বত্ব হস্তান্তর কীভাবে নেবেন,How to get IP assignment from freelancers,/ip/freelancer-ip-assignment,Checklist,High,Contract hygiene.
Phase 1: Starting,Import / Export / IP,"পেটেন্ট, ডিজাইন ও GI: কোনটা আপনার জন্য প্রাসঙ্গিক","Patent, design and GI: which one matters for you?",/ip/patent-design-gi,Guide,Medium,Source lead: DPDT.
Phase 2: Building,Founding & Team,সহ-প্রতিষ্ঠাতা খুঁজে বের করার উপায়,How to find co-founders,/cofounders/finding-cofounders,Guide / Template,High,
Phase 2: Building,Founding & Team,"সহ-প্রতিষ্ঠাতাদের সাথে কোথায় দেখা করবেন: অনুষ্ঠান, কমিউনিটি, বিশ্ববিদ্যালয়","Where to meet co-founders: events, communities, universities",/cofounders/where-to-meet,Guide / Template,High,
Phase 2: Building,Founding & Team,সহ-প্রতিষ্ঠাতা চুক্তি কীভাবে গঠন করবেন,How to structure co-founder agreements,/cofounders/agreement-structure,Guide / Template,High,
Phase 2: Building,Founding & Team,ইকুইটি বিভাজন আলোচনা নির্দেশিকা,Equity split discussion guide,/cofounders/equity-split,Guide / Template,High,
Phase 2: Building,Founding & Team,ভেস্টিংয়ের প্রাথমিক বিষয়গুলো সহজ বাংলায় অনুবাদ করা হয়েছে,Vesting basics translated into plain Bangla,/cofounders/vesting,Guide / Template,High,
Phase 2: Building,Founding & Team,অনানুষ্ঠানিক সহ-প্রতিষ্ঠাতা হিসেবে পরিবারের সম্পৃক্ততা,Family involvement as informal co-founders,/cofounders/family-cofounders,Guide / Template,High,
Phase 2: Building,Hiring,প্রথম কর্মী কীভাবে নিয়োগ করবেন,Hiring first employees,/team/first-hires,Guide / Template,High,
Phase 2: Building,Hiring,প্রথম কর্মী বনাম ফ্রিল্যান্সার বনাম ইন্টার্ন নিয়োগ,Hiring first employee vs freelancer vs intern,/team/employee-vs-freelancer,Guide / Template,High,
Phase 2: Building,Hiring,ইন্টার্ন এবং ছাত্র প্রতিভা,Interns and student talent,/team/interns,Guide / Template,High,
Phase 2: Building,Hiring,রিমোট টিমের কাজের নিয়ম,Remote team norms,/team/remote-team-norms,Guide / Template,High,
Phase 2: Building,Hiring,কম খরচে শুরু করতে রিমোট কর্মী নিয়োগ বা কাজ আউটসোর্স করা,Remote/outsourced hiring as a bootstrapping tactic,/team/remote-outsourced-hiring,Guide / Template,High,
Phase 2: Building,Hiring,শ্রম আইনের প্রাথমিক ধারণা: বাংলাদেশ শ্রম আইন ২০০৬,Labor law basics: Bangladesh Labour Act 2006,/team/labor-law,Guide / Template,High,
Phase 2: Building,Hiring,কর্মসংস্থান চুক্তি,Employment contracts,/team/employment-contracts,Guide / Template,High,
Phase 2: Building,Hiring,"ইপিএফ, গ্র্যাচুইটি ও অন্যান্য কর্মী সুবিধা","EPF, gratuity, and benefits basics",/team/benefits-gratuity,Guide / Template,High,
Phase 2: Building,Hiring,বেতনের মানদণ্ড গবেষণা পরিকল্পনা,Salary benchmarks research plan,/team/salary-benchmarks,Guide / Template,High,
Phase 2: Building,Hiring,"প্রতিভা কোথায় খুঁজে পাবেন: লিঙ্কডইন, ফেসবুক গ্রুপ, চাকরি.কম, বিডিজবস.কম, বিশ্ববিদ্যালয়ের ক্যারিয়ার অফিস","Where to find talent: LinkedIn, Facebook groups, Chakri.com, Bdjobs.com, university career offices",/team/find-talent,Guide / Template,High,
Phase 2: Building,Hiring,বাংলাদেশি স্টার্টআপগুলোতে সাংস্কৃতিক ভুল,Culture mistakes in Bangladeshi startups,/team/culture-mistakes,Guide / Template,High,
Phase 2: Building,Hiring,প্রতিভা ধরে রাখা এবং মেধা পাচার,Talent retention and brain drain,/team/retention,Guide / Template,High,
Phase 2: Building,Hiring,নিয়োগ স্কোরকার্ড,Hiring scorecard,/team/hiring-scorecard,Guide / Template,High,
Phase 2: Building,Product,বাংলাদেশে আপনার পণ্য তৈরি করা,Building your product in Bangladesh,/product/building-basics,Guide,Medium,
Phase 2: Building,Product,বাংলাদেশে ডেভেলপার খোঁজা,Finding developers in Bangladesh,/team/finding-developers,Guide,Medium,
Phase 2: Building,Product,ফ্রিল্যান্সার ইকোসিস্টেম এবং স্থানীয় বনাম অফশোর উন্নয়ন,Freelancer ecosystem and local vs offshore development,/team/freelancers-vs-offshore,Guide,Medium,
Phase 2: Building,Product,"টেক স্ট্যাক বিবেচ্য বিষয়: মোবাইল-ফার্স্ট, লো-ব্যান্ডউইথ অপ্টিমাইজেশন","Tech stack considerations: mobile-first, low-bandwidth optimization",/product/tech-stack,Guide,Medium,
Phase 2: Building,Product,বাংলা ইউএক্স এবং মোবাইল-ফার্স্ট পণ্য,Bangla UX and mobile-first products,/product/bangla-ux,Guide,Medium,
Phase 2: Building,Product,গ্রাহকের ডেটার জন্য ডেটা গোপনীয়তা/সুরক্ষার বাধ্যবাধকতা,Data privacy/protection obligations for customer data,/product/data-privacy,Guide,Medium,
Phase 2: Building,Product,তথ্য ও যোগাযোগ প্রযুক্তি আইন এবং উদীয়মান প্রবিধানের সংক্ষিপ্ত বিবরণ,ICT Act and emerging regulations overview,/product/ict-act,Guide,Medium,
Phase 2: Building,Product,"মেধাস্বত্ব হস্তান্তর, গোপনীয়তা চুক্তি, অপ্রতিযোগিতা চুক্তির প্রয়োগযোগ্যতার মৌলিক বিষয়সমূহ","IP assignment, NDA, non-compete enforceability basics",/team/nda-non-compete,Guide,Medium,
Phase 2: Building,Founding & Team,প্রতিষ্ঠাতা ভূমিকা ম্যাট্রিক্স: কে কী করবে,Founder role matrix: who does what,/cofounders/role-matrix,Template,High,Avoid vague co-founder roles.
Phase 2: Building,Founding & Team,সহ-প্রতিষ্ঠাতা আলাদা হলে কীভাবে সামলাবেন,How to handle a co-founder breakup,/cofounders/breakup,Guide / Script,High,Very common risk.
Phase 2: Building,Founding & Team,উপদেষ্টা চুক্তি ও মেন্টর ইকুইটি বেসিক,Advisor agreements and mentor equity basics,/cofounders/advisor-equity,Guide,Medium,Plain-language equity guidance.
Phase 2: Building,Founding & Team,ESOP বা কর্মী শেয়ার পরিকল্পনা বেসিক,ESOP or employee share plan basics,/cofounders/esop,Guide,Medium,Growth-stage topic.
Phase 2: Building,Founding & Team,পরিবারের টাকা নিলে লিখিত শর্ত কী হবে,Written terms when taking family money,/cofounders/family-money-terms,Template,High,Bangladesh-specific reality.
Phase 2: Building,Founding & Team,ফ্রিল্যান্সার চুক্তি ও মেধাস্বত্ব মালিকানা চেকলিস্ট,Freelancer contract and IP ownership checklist,/team/freelancer-contracts,Checklist,High,Avoid ownership disputes.
Phase 2: Building,Hiring,প্রথম ইন্টার্নশিপ প্রোগ্রাম কীভাবে চালাবেন,How to run your first internship program,/team/internship-program,Guide,Medium,Student talent path.
Phase 2: Building,Hiring,"অফার লেটার, probation ও joining চেকলিস্ট","Offer letter, probation and joining checklist",/team/offer-letter,Template,High,First-hire basics.
Phase 2: Building,Hiring,ছুটি নীতি ও অফিস নিয়মের টেমপ্লেট,Leave policy and office rules template,/team/leave-policy,Template,Medium,Small team HR hygiene.
Phase 2: Building,Hiring,"চাকরি শেষ করা, নোটিশ পিরিয়ড ও গ্র্যাচুইটি বেসিক","Termination, notice period and gratuity basics",/team/termination,Guide,High,Needs labor-law review.
Phase 2: Building,Hiring,"পে-রোল প্রক্রিয়া: বেতন শিট, ব্যাংক ট্রান্সফার ও কর","Payroll process: salary sheet, bank transfer and tax",/team/payroll,Guide / Template,Medium,Ops foundation.
Phase 2: Building,Hiring,বাংলায় চাকরির পোস্ট কীভাবে লিখবেন,How to write job posts in Bangla,/team/bangla-job-posts,Template,Medium,Improves candidate quality.
Phase 2: Building,Product,লো-এন্ড অ্যান্ড্রয়েড ফোনের জন্য পণ্য অপটিমাইজ করা,Optimizing products for low-end Android phones,/product/low-end-android,Guide,High,Bangladesh mobile-first reality.
Phase 2: Building,Product,"বাংলা UX লেখা: শব্দ, টোন ও ফ্লো","Bangla UX writing: words, tone and flow",/product/bangla-ux-writing,Guide,High,Bangla-first product support.
Phase 2: Building,Product,SMS OTP খরচ ও বিকল্প লগইন ফ্লো,SMS OTP costs and alternative login flows,/product/sms-otp-login,Guide,Medium,Local cost and reliability issue.
Phase 2: Building,Product,গ্রাহকের ডেটা সম্মতি ও গোপনীয়তা নোটিশ টেমপ্লেট,Customer data consent and privacy notice template,/product/privacy-notice-template,Template,High,Data protection hygiene.
Phase 2: Building,Product,ছোট স্টার্টআপের সাইবার নিরাপত্তা বেসিক,Cybersecurity basics for small startups,/product/cybersecurity,Guide,Medium,"Passwords, access, backups, payments."
Phase 2: Building,Product,নো-কোড MVP বানানো: কখন যথেষ্ট,Building a no-code MVP: when it is enough,/product/no-code-mvp,Guide,Medium,Bootstrapping path.
Phase 2: Building,Physical Product,প্রোটোটাইপ থেকে প্রথম ব্যাচ,From prototype to first batch,/manufacturing/first-batch,Guide,High,Physical-product startup path.
Phase 2: Building,Physical Product,BOM ও খরচের শিট বানানো,Building a BOM and costing sheet,/manufacturing/bom-costing,Template,High,Manufacturing finance.
Phase 2: Building,Physical Product,লোকাল সাপ্লায়ার খোঁজার চেকলিস্ট,Local supplier sourcing checklist,/manufacturing/supplier-sourcing,Checklist,High,"For food, apparel, hardware, packaging."
Phase 2: Building,Physical Product,প্রথম উৎপাদন ব্যাচের গুণমান নিয়ন্ত্রণ চেকলিস্ট,Quality control checklist for first production run,/manufacturing/quality-control,Checklist,High,Avoid defective launch inventory.
Phase 2: Building,Physical Product,প্যাকেজিং ও লেবেল ডিজাইন অনুমোদনের কাজের ধাপ,Packaging and label design approval workflow,/manufacturing/packaging-labels,Guide,Medium,"Brand, compliance and retail."
Phase 2: Building,Physical Product,ইনভেন্টরি ও ওয়্যারহাউস সেটআপ,Inventory and warehouse setup,/manufacturing/inventory-warehouse,Guide,High,Commerce and physical goods.
Phase 2: Building,Physical Product,কোল্ড চেইন লাগলে কীভাবে পরিকল্পনা করবেন,How to plan if cold chain is required,/manufacturing/cold-chain,Guide,Medium,"Food, pharma, health products."
Phase 2: Building,Physical Product,উৎপাদন পার্টনার যাচাইয়ের চেকলিস্ট,Manufacturing partner due diligence,/manufacturing/partner-due-diligence,Checklist,High,Supplier risk management.
Phase 3: Launching & Growing,Local Market Playbooks,বাংলাদেশে আপনার প্রথম ১০০ জন গ্রাহক কীভাবে পাবেন,How to get your first 100 customers in Bangladesh,/customers/first-100-customers,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,ফেসবুক কমার্স প্লেবুক,Facebook commerce playbook,/customers/facebook-commerce,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,হোয়াটসঅ্যাপ এবং মেসেঞ্জার বিক্রয় কৌশলপুস্তক,WhatsApp and Messenger sales playbook,/customers/whatsapp-messenger-sales,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,একটি পূর্ণাঙ্গ ওয়েবসাইট তৈরির আগে ফেসবুক/হোয়াটসঅ্যাপের উপর ভিত্তি করে কাজ করা।,Building on Facebook/WhatsApp before a full website,/customers/facebook-before-website,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,বাংলা ল্যান্ডিং পেজ কপিরাইটিং,Bangla landing page copywriting,/customers/landing-page-copy,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,ল্যান্ডিং পেজ টেমপ্লেট,Landing page template,/customers/landing-page-template,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,ফেসবুক বিজ্ঞাপন পরীক্ষা পরিকল্পনাকারী,Facebook ad test planner,/customers/facebook-ad-planner,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,বাংলাদেশে ইনফ্লুয়েন্সার মার্কেটিং,Influencer marketing in Bangladesh,/customers/influencer-marketing,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,বাংলায় এসইও,SEO in Bangla,/customers/bangla-seo,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,অফলাইন বিপণন এবং বিতরণ,Offline marketing and distribution,/customers/offline-marketing,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,ক্যাম্পাস অ্যাম্বাসেডর মডেল,Campus ambassador model,/customers/campus-ambassadors,Playbook / Template,High,
Phase 3: Launching & Growing,Local Market Playbooks,মার্কেটপ্লেস বনাম নিজস্ব স্টোর: Daraz/Facebook Shop বনাম নিজের সাইট,Marketplace vs owned storefront: Daraz/Facebook Shop vs your own site,/customers/marketplace-vs-own-site,Playbook / Template,High,
Phase 3: Launching & Growing,Sales & Distribution,বাংলাদেশে এসএমই বিক্রয়,SME sales in Bangladesh,/b2b/sme-sales,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,বি২বি বিক্রয় স্ক্রিপ্ট,B2B sales scripts,/b2b/sales-scripts,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,এসএমই বিক্রয় কল স্ক্রিপ্ট,SME sales call script,/b2b/sme-call-script,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,কর্পোরেট অংশীদারিত্বের গতিশীলতা,Corporate partnership dynamics,/b2b/corporate-partnerships,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,কম আস্থার বাজারে আস্থা তৈরি,Trust-building in low-trust markets,/customers/trust-building,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,ঢাকার বাইরে বিক্রি করা,Selling outside Dhaka,/growth/selling-outside-dhaka,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,ঢাকার বাইরে বিতরণ,Distribution outside Dhaka,/growth/distribution-outside-dhaka,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,ঢাকা বনাম চট্টগ্রাম বনাম দ্বিতীয় স্তরের শহরের পার্থক্য,Dhaka vs Chattogram vs tier-2 city differences,/growth/city-differences,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,অফলাইন থেকে অনলাইন আচরণ,Offline-to-online behavior,/customers/offline-to-online,Playbook,High,
Phase 3: Launching & Growing,Sales & Distribution,এসএমই ডিজিটাইজেশনের বাধা,SME digitization barriers,/b2b/sme-digitization,Playbook,High,
Phase 3: Launching & Growing,Logistics & Commerce,"ক্যাশ অন ডেলিভারির ঝুঁকি: কত ফেরত পর্যন্ত পোষায়","Cash on delivery risk: how many returns you can absorb",/operations/cod-risk,Guide / Checklist,High,
Phase 3: Launching & Growing,Logistics & Commerce,ক্যাশ-অন-ডেলিভারি ঝুঁকি চেকলিস্ট,Cash-on-delivery risk checklist,/operations/cod-risk-checklist,Guide / Checklist,High,
Phase 3: Launching & Growing,Logistics & Commerce,কুরিয়ার/লজিস্টিক বিকল্পগুলি,Courier/logistics options,/operations/courier-options,Guide / Checklist,High,
Phase 3: Launching & Growing,Logistics & Commerce,"পাঠাও, স্টেডফাস্ট, রেডএক্স ও পেপারফ্লাইয়ের মতো কুরিয়ার সেবার সঙ্গে কাজ করা","Working with Pathao, Steadfast, REDX, Paperfly and similar providers",/operations/courier-partners,Guide / Checklist,High,
Phase 3: Launching & Growing,Logistics & Commerce,শেষ ধাপের ডেলিভারির সীমাবদ্ধতা,Last-mile delivery constraints,/operations/last-mile-delivery,Guide / Checklist,High,
Phase 3: Launching & Growing,Logistics & Commerce,ডিজিটাল কমার্স নীতিমালা এবং একটি অনলাইন শপের জন্য এতে কী কী প্রয়োজন,Digital Commerce Policy and what it requires of an online shop,/customers/digital-commerce-policy,Guide / Checklist,High,
Phase 3: Launching & Growing,Logistics & Commerce,মূল্য সংবেদনশীলতা এবং অর্থ প্রদানের ইচ্ছা,Price sensitivity and willingness to pay,/customers/willingness-to-pay,Guide / Checklist,High,
Phase 3: Launching & Growing,Logistics & Commerce,বাংলাদেশের জন্য কিস্তি সংস্কৃতি এবং মূল্য নির্ধারণ কৌশল,Installment culture and pricing strategy for Bangladesh,/customers/installment-pricing,Guide / Checklist,High,
Phase 3: Launching & Growing,Metrics & Operations,স্টার্টআপ মেট্রিক্স ১০১,Startup metrics 101,/metrics/metrics-101,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,"CAC, LTV, রিটেনশন, চার্ন, পেব্যাক","CAC, LTV, retention, churn, payback",/metrics/cac-ltv-churn,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,মার্কেটপ্লেস মেট্রিক্স,Marketplace metrics,/metrics/marketplace,Guide / Calculator,High,"Focuses on GMV, take rates, and liquidity. Tip: Essential for startups connecting buyers and sellers in the local market."
Phase 3: Launching & Growing,Metrics & Operations,ই-কমার্স মেট্রিক্স,E-commerce metrics,/metrics/e-commerce,Guide / Calculator,High,"Focuses on CAC, AOV, LTV, and conversion rates. Tip: Use to track profitability and marketing efficiency."
Phase 3: Launching & Growing,Metrics & Operations,SaaS মেট্রিক্স,SaaS metrics,/metrics/saas,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,ইউনিট অর্থনীতি টেমপ্লেট,Unit economics template,/metrics/unit-economics,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,মাসিক ফাউন্ডার ড্যাশবোর্ড,Monthly founder dashboard,/metrics/founder-dashboard,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,একজন হিসাবরক্ষক নন এমন প্রতিষ্ঠাতার জন্য প্রয়োজনীয় প্রাথমিক হিসাবরক্ষণ/অ্যাকাউন্টিং।,Basic bookkeeping/accounting a non-accountant founder needs,/tax/bookkeeping-basics,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,ভ্যাট ক্যালকুলেটর,VAT calculator,/tools/vat-calculator,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,ব্রেক-ইভেন ক্যালকুলেটর,Break-even calculator,/tools/break-even-calculator,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,বেতন/পিএফ ক্যালকুলেটর,Salary/PF calculator,/tools/salary-pf-calculator,Guide / Calculator,High,
Phase 3: Launching & Growing,Metrics & Operations,রানওয়ে ক্যালকুলেটর,Runway calculator,/tools/runway-calculator,Guide / Calculator,High,"Glossary terms runway and burn-rate have no written guide; set their `guide` in data/glossary.json when this lands."
Phase 3: Launching & Growing,Metrics & Operations,বাংলাদেশি স্টার্টআপগুলোর জন্য সহজলভ্য এবং সাশ্রয়ী সরঞ্জাম,Tools accessible and affordable for Bangladeshi startups,/tools/affordable-tools,Guide / Calculator,High,
Phase 3: Launching & Growing,Funding,বাংলাদেশে বুটস্ট্র্যাপিং,Bootstrapping in Bangladesh,/funding/bootstrapping,Guide / Template,High,"Glossary term bootstrapping has no written guide; set its `guide` in data/glossary.json when this lands."
Phase 3: Launching & Growing,Funding,বন্ধু এবং পরিবারের তহবিল,Friends and family funding,/funding/friends-family,Guide / Template,High,
Phase 3: Launching & Growing,Funding,অ্যাঞ্জেল বিনিয়োগকারীরা,Angel investors,/funding/angel-investors,Guide / Template,High,
Phase 3: Launching & Growing,Funding,বাংলাদেশ অ্যাঞ্জেলস নেটওয়ার্ক,Bangladesh Angels Network,/funding/bangladesh-angels,Guide / Template,High,
Phase 3: Launching & Growing,Funding,স্টার্টআপ বাংলাদেশ,Startup Bangladesh,/funding/startup-bangladesh,Guide / Template,High,
Phase 3: Launching & Growing,Funding,স্থানীয় ভিসি ল্যান্ডস্কেপ,Local VC landscape,/funding/local-vcs,Guide / Template,High,
Phase 3: Launching & Growing,Funding,আন্তর্জাতিক বিনিয়োগকারীরা,International investors,/funding/international-investors,Guide / Template,High,
Phase 3: Launching & Growing,Funding,বৈদেশিক বিনিয়োগ/এফডিআই নিয়মাবলী এবং প্রবাসীদের অর্থায়ন,Foreign investment/FDI rules and diaspora funding,/funding/fdi-rules,Guide / Template,High,
Phase 3: Launching & Growing,Funding,বাংলাদেশে ক্রাউডফান্ডিংয়ের বৈধতা,Crowdfunding legality in Bangladesh,/funding/crowdfunding,Guide / Template,High,
Phase 3: Launching & Growing,Funding,অনুদান এবং প্রতিযোগিতা,Grants and competitions,/funding/grants-competitions,Guide / Template,High,
Phase 3: Launching & Growing,Funding,বাংলাদেশ ব্যাংক স্টার্টআপ তহবিল,Bangladesh Bank startup fund,/funding/bb-startup-fund,Guide / Template,High,
Phase 3: Launching & Growing,Funding,আইডিয়া প্রকল্প এবং বঙ্গবন্ধু উদ্ভাবন অনুদান,iDEA Project and Bangabandhu Innovation Grant,/funding/idea-and-big,Guide / Template,High,
Phase 3: Launching & Growing,Funding,পিচ ডেক টেমপ্লেট,Pitch deck template,/funding/pitch-deck,Guide / Template,High,
Phase 3: Launching & Growing,Funding,তহবিল সংগ্রহের ডেটা রুমের চেকলিস্ট,Fundraising data room checklist,/funding/data-room,Guide / Template,High,
Phase 3: Launching & Growing,Funding,বিনিয়োগকারী সিআরএম,Investor CRM,/funding/investor-crm,Guide / Template,High,
Phase 3: Launching & Growing,Funding,মূল্যায়নের মূল বিষয়গুলি,Valuation basics,/funding/valuation,Guide / Template,High,
Phase 3: Launching & Growing,Funding,সহজ বাংলায় টার্ম শিটের মূল বিষয়াবলী,Term sheet basics in plain Bangla,/funding/term-sheets,Guide / Template,High,
Phase 3: Launching & Growing,Funding,সহজ বাংলায় cap table-এর বেসিক,Cap table basics in plain Bangla,/funding/cap-table,Guide / Template,High,
Phase 3: Launching & Growing,Funding,প্রথম বিনিয়োগকারী বোর্ডের আসন এবং নিয়ন্ত্রণ হারানোর বিষয়টি মোকাবেলা করা,Dealing with first investor board seat and loss of control,/funding/first-board-seat,Guide / Template,High,
Phase 3: Launching & Growing,Funding,মাসিক বিনিয়োগকারী আপডেট টেমপ্লেট,Monthly investor update template,/funding/investor-updates,Guide / Template,High,
Phase 3: Launching & Growing,Scaling,ঢাকার বাইরে সম্প্রসারণ,Expanding beyond Dhaka,/growth/beyond-dhaka,Guide,Medium,
Phase 3: Launching & Growing,Scaling,গ্রামীণ বাজারের বিবেচনা,Rural market considerations,/growth/rural-markets,Guide,Medium,
Phase 3: Launching & Growing,Scaling,দক্ষিণ এশিয়ায় আঞ্চলিক হয়ে ওঠা,Going regional in South Asia,/growth/south-asia-expansion,Guide,Medium,
Phase 3: Launching & Growing,Scaling,আন্তঃসীমান্ত নিয়ন্ত্রক বিবেচনা,Cross-border regulatory considerations,/growth/cross-border-rules,Guide,Medium,
Phase 3: Launching & Growing,Scaling,এজেন্সি থেকে পণ্যে রূপান্তর,Agency-to-product transition,/b2b/agency-to-product,Guide,Medium,
Phase 3: Launching & Growing,Scaling,দ্বিতীয়বারের প্রতিষ্ঠাতাদের বিষয়,Second-time founder topics,/founder-life/second-time-founders,Guide,Medium,
